PARTICIPANT,CLASS,GENE1,GENE2,GENE3,GENE4
8572,Tumoral (01A),7.5636,9.5422,2.2935,2.3181
8590,Tumoral (01A),2.4989,7.7132,2.8026,5.9491
8631,Tumoral (01A),5.2381,9.5718,4.0194,1.5583
8679,Tumoral (01A),11.8136,11.4989,5.6164,4.8108
8686,Tumoral (01A),0.4235,9.7724,3.6644,0.8953
A4GP,Tumoral (01A),7.1658,10.3609,1.8986,38.4576
A4GX,Tumoral (01A),15.0964,6.1838,3.7280,37.1580
A4IV,Tumoral (01A),0.2210,7.2754,2.2835,0.3382
A4J7,Tumoral (01A),2.2851,9.4899,4.1015,0.5059
A4MJ,Tumoral (01A),4.1348,6.4653,2.5135,49.3716
A4YV,Tumoral (01A),0.7268,9.0574,0.8078,14.8266
4441,Tumoral (01A),13.7568,7.8167,2.0081,18.3883
5721,Normal (11A),2.2231,4.2275,0.9417,1.7215
6458,Tumoral (01A),3.5838,12.6170,2.3630,0.3282
6528,Tumoral (01A),9.4469,7.2626,1.7799,6.2948
6564,Tumoral (01A),1.0273,8.0388,0.9411,2.3859
6803,Tumoral (01A),1.0100,7.2171,1.5522,2.1272
7132,Tumoral (01A),1.6433,8.3272,2.3982,42.0703
7716,Tumoral (01A),6.0041,7.8720,1.6686,3.3480
8081,Tumoral (01A),2.2125,6.5854,2.0031,107.2377
8122,Tumoral (01A),3.0297,10.3349,2.4539,8.2952
8368,Tumoral (01A),7.8908,8.6844,3.2575,170.3344
8533,Tumoral (01A),4.4680,13.1698,3.5341,2.9332
8588,Tumoral (01A),4.8914,9.5029,2.9994,16.9183
8610,Tumoral (01A),5.9483,7.2863,2.5833,0.2192
8683,Tumoral (01A),2.2408,8.6188,3.1977,70.6870
A453,Tumoral (01A),0.0978,6.7941,1.2001,2.5508
A4G9,Tumoral (01A),13.1823,7.0117,2.1566,62.4644
A4GU,Tumoral (01A),3.3696,8.0176,2.8989,43.6040
A4H6,Tumoral (01A),6.4567,9.3291,2.9290,1.9298
A4HB,Normal (11A),0.0841,10.3277,1.2349,0.3597
A4HB,Tumoral (01A),8.1914,8.8699,3.2480,93.7193
A4J4,Tumoral (01A),7.8769,7.3905,2.2822,3.2432
A4MG,Tumoral (01A),6.6608,7.1835,5.1065,6.5996
A4PF,Tumoral (01A),3.2129,7.6765,2.5822,9.1654
5726,Tumoral (01A),8.7277,6.3867,1.2151,27.1908
5799,Tumoral (01A),20.6022,5.0121,1.0811,33.4945
5803,Tumoral (01A),0.6317,8.7934,1.3986,1.5236
6455,Tumoral (01A),0.0106,7.7073,1.5623,0.3118
6705,Tumoral (01A),2.7605,8.5094,1.5194,0.2815
7715,Normal (11A),1.5245,5.3523,2.4657,1.8412
7968,Normal (11A),0.3789,6.8582,0.8664,0.8650
8060,Tumoral (01A),2.5389,10.6968,2.3653,0.2553
8365,Tumoral (01A),0.5795,8.5299,2.0090,0.3727
8530,Tumoral (01A),4.5741,8.7318,3.5717,0.0585
8608,Tumoral (01A),0.9700,7.3565,1.9319,0.8579
8680,Tumoral (01A),4.1945,10.8093,4.6731,140.5173
A487,Tumoral (01A),8.1521,7.7554,3.6067,3.4088
A4H3,Tumoral (01A),8.4284,6.4356,2.7153,23.9576
A4J1,Tumoral (01A),7.7162,8.0258,4.0648,0.4364
A4YX,Tumoral (01A),0.0069,7.5160,2.2129,1.0669
4292,Tumoral (01A),10.5510,9.1656,2.4871,28.7742
5723,Tumoral (01A),6.6876,5.0411,3.0400,0.2770
5730,Normal (11A),25.0171,4.1755,0.6948,196.7448
5734,Normal (11A),29.7743,3.9666,0.6031,167.5035
5800,Tumoral (01A),15.4600,11.1189,1.9679,14.2137
6452,Tumoral (01A),8.0870,7.3053,2.3596,6.0683
6519,Tumoral (01A),1.3663,7.8360,2.0850,6.4381
6566,Tumoral (01A),10.6597,4.3084,0.8888,174.2867
6852,Normal (11A),0.8989,3.7681,1.3328,1.6244
7806,Normal (11A),0.0914,7.0322,0.8557,0.0210
7806,Tumoral (01A),19.5150,9.3864,1.5284,13.5051
7901,Tumoral (01A),7.8898,12.4041,4.0607,1.8511
8058,Tumoral (01A),1.3578,6.9706,1.8724,2.0316
8238,Normal (11A),25.3499,4.0091,1.0908,263.6816
8238,Tumoral (01A),3.5921,6.9633,1.9674,43.8248
8362,Tumoral (01A),1.8631,7.0372,1.8471,61.3119
8373,Tumoral (01A),2.5512,8.5171,2.5583,7.6880
8380,Tumoral (01A),3.0156,8.5409,1.3567,34.7710
8487,Tumoral (01A),14.0613,8.0423,4.8613,12.9374
8528,Tumoral (01A),0.8152,8.4123,2.6401,7.1461
8535,Tumoral (01A),3.6411,9.6483,2.9764,1.4279
8678,Tumoral (01A),0.2761,8.5988,2.7693,0.1989
A44T,Tumoral (01A),0.4534,9.6136,3.9573,7.5035
A4CS,Tumoral (01A),6.7768,5.9127,2.7672,0.0500
A4H0,Tumoral (01A),1.1341,8.8039,1.9720,7.9825
A4HD,Tumoral (01A),9.9689,13.5890,2.5012,15.9202
A4IY,Tumoral (01A),2.0227,7.1170,2.4125,0.0000
A4MI,Tumoral (01A),2.8136,6.7807,3.1815,0.8119
A4SO,Tumoral (01A),10.2947,8.9192,4.1123,9.1677
A4YU,Tumoral (01A),1.4587,10.3372,2.6220,5.5504
